segmento_questy,hogares,ingreso_prom,gasto_prom,ahorro_prom,deuda_prom,ratio_gasto_ingreso_prom,ratio_deuda_ingreso_prom,transporte_prom,esparci_prom,educacion_prom,num_jovenes_prom,edad_joven_prom,ingreso_p25,ingreso_p50,ingreso_p75,ahorro_p25,ahorro_p50,ahorro_p75,deuda_p75
jovenes_alto_alta,383,160250.79250652742,208584.15728459528,-48333.36477806789,1050.1137336814622,1.2958115470038516,0.006847138714310174,72149.99634464753,6980.7997389033935,18255.387911227153,1.516971279373368,23.03894691035683,116596.85,136459.45,171975.85,-55269.399999999994,-24812.28999999998,-9970.730000000003,0.0
jovenes_alto_baja,8359,163617.64041153248,71905.96168680464,91711.67872472784,1154.1912836463691,0.46029353449510274,0.007646111283571853,15900.8171551621,2322.356177772461,4743.178856322527,1.6592893886828568,23.40809933974786,115663.525,136377.01,174284.005,55075.83,74780.64,101304.88,0.0
jovenes_alto_media,697,151893.79700143472,133568.43282639887,18325.36417503587,760.2086083213774,0.8786403376172713,0.0052747762648081556,30252.443758967,5447.032553802009,12493.181836441894,1.588235294117647,23.223888091822094,112398.19,130702.29,163273.84,10886.440000000002,17495.25,22765.130000000005,0.0
jovenes_bajo_alta,3012,26253.49975431607,37021.66597941567,-10768.166225099601,150.85387782204515,1.5231445150024159,0.005179875668312986,6591.495083001329,746.1669920318725,1999.7214475431606,1.3217131474103585,23.35375166002656,18788.6225,26977.675,34374.177500000005,-13647.884999999997,-6959.324999999999,-3142.1450000000004,0.0
jovenes_bajo_baja,4592,31587.847907229967,18051.471533101045,13536.37637412892,132.71168771777005,0.5719070667671199,0.003904319992688822,2822.4111999128922,278.7671907665505,599.0788893728222,1.3260017421602788,23.498972851335658,26277.035,32902.630000000005,38370.06,8742.5625,12610.575,17504.705,0.0
jovenes_bajo_media,1832,30558.294956331876,27317.895453056768,3240.399503275109,139.02940502183407,0.8949244282542995,0.004679008531594799,4320.872620087336,490.30384825327513,1270.050251091703,1.3689956331877728,23.40902474526929,25300.072500000002,31523.475,37183.2575,1549.8674999999992,3064.790000000001,4749.2425,0.0
jovenes_bajo_sin_dato,3,0.0,87284.14666666667,-87284.14666666667,0.0,,,20255.856666666667,1982.8966666666665,0.0,1.3333333333333333,24.166666666666668,0.0,0.0,0.0,-102573.23999999999,-76747.75,-66726.855,0.0
jovenes_medio_alto_alta,720,80441.07556944445,105161.31266666668,-24720.237097222223,664.6953333333333,1.302375620330376,0.00832628232564598,28851.81109722222,3094.888,8703.460902777777,1.4402777777777778,23.06284722222222,72013.6375,78491.23999999999,87876.82250000001,-29905.955000000005,-12901.925000000005,-5121.25250000001,0.0
jovenes_medio_alto_baja,7696,81937.90375649687,42033.60464656965,39904.29910992723,544.5815137733888,0.5142438113007567,0.006640837478736743,8699.66308991684,982.0295556133057,2201.0585992723495,1.4949324324324325,23.151172223047222,73278.0225,81124.66500000001,90028.435,29299.272500000003,39068.62499999999,49199.490000000005,0.0
jovenes_medio_alto_media,1022,80705.61501956946,71204.15808219179,9501.45693737769,555.7362720156556,0.8827132342580147,0.006633962341354623,14467.229774951076,1934.1575831702544,5312.278884540117,1.528375733855186,23.062410306588387,72299.015,79372.70499999999,88155.7175,5560.367500000004,9925.660000000003,13487.567500000003,0.0
jovenes_medio_bajo_alta,1198,53221.65264607679,67268.63747078464,-14046.984824707846,332.44085976627713,1.2660721428904307,0.006124485253122269,13925.133155258764,1706.5701335559265,5445.201936560935,1.4515859766277128,22.86965776293823,47178.1175,52332.479999999996,59184.28,-17512.442499999997,-8641.279999999999,-3483.0450000000037,0.0
jovenes_medio_bajo_baja,6629,54695.35303967416,29781.87634786544,24913.47669180872,319.90343490722586,0.5453923107029054,0.005848489022903185,5583.446412731936,572.3841876602805,1367.0580917182078,1.3971941469301554,23.100409815457333,48865.68,54789.25,60559.16,17684.75,24078.660000000003,30986.109999999997,0.0
jovenes_medio_bajo_media,1611,53667.052967101175,47676.893531967726,5990.159435133457,309.97761638733704,0.888367313411962,0.005858188915820921,8628.233594040968,1054.7674239602732,3114.059515828678,1.4320297951582868,23.070101386302504,47890.119999999995,53409.82,59184.22,3369.439999999995,6149.8399999999965,8534.075000000004,0.0
